ID T IDR EventType X Y
317 34377 1 SEND3 6 0
318 34407 1 GET1 4 6
319 34455 2 SEND1 1 1
320 34557 1 SEND1 1 1
321 34663 1 GET1 4 6
322 34713 1 SEND1 0 0
323 34769 1 GET1 3 7
324 34797 2 GET1 4 6
325 34883 2 SEND1 1 1
326 34897 1 SEND1 2 0
327 35159 1 GET1 3 7
328 35257 2 GET1 5 7
329 35393 2 SEND1 1 1
330 35597 1 SEND1 1 1
331 35643 1 GET1 3 7
332 35751 2 GET2 5 7
333 35775 1 SEND1 1 1
334 35857 1 GET1 3 7
335 36259 1 SEND1 0 0
336 36538 2 SEND2 5 0
337 37061 1 GET1 3 7
338 37291 2 GET1 3 7
339 37443 1 SEND1 1 1
340 37475 1 GET1 3 7
341 37677 2 SEND1 1 1
342 37749 2 GET1 3 7
343 37773 1 SEND1 2 0
344 37877 1 GET1 5 7
345 38053 2 SEND1 2 0
346 38079 1 SEND1 0 0
347 38107 2 GET1 3 7
348 38109 1 GET2 4 6
349 38297 2 SEND1 2 0
350 38300 1 SEND2 4 1
351 38417 1 GET2 3 7
352 38579 2 GET1 3 7
353 38718 1 SEND2 3 0
354 38975 1 GET1 4 6
355 38987 2 SEND1 0 0
356 39033 2 GET2 4 6
357 39072 2 SEND2 3 0
358 39153 2 GET2 3 7
359 39229 1 SEND1 2 0
360 39317 1 GET2 5 7
361 39458 2 SEND2 4 1
362 39579 2 GET1 5 7
363 39686 1 SEND2 3 0
364 39711 2 SEND1 1 1
365 39767 2 GET2 5 7
366 39785 1 GET1 3 7
367 39838 2 SEND2 4 1
368 39977 1 SEND1 1 1
369 40061 2 GET1 3 7
370 40247 2 SEND1 1 1
371 40269 1 GET1 3 7
372 40559 1 SEND1 0 0
373 40624 2 GET1 3 7
374 40905 1 GET2 4 6
375 40928 2 SEND1 0 0
376 40988 1 SEND2 3 0
377 40988 2 GET1 4 6
378 41213 1 GET1 3 7
379 41234 2 SEND1 2 0
380 41270 2 GET1 4 6
381 41389 1 SEND1 2 0
382 41450 2 SEND1 2 0
383 41530 2 GET1 3 7
384 41576 2 SEND1 1 1
385 41646 2 GET1 3 7
386 41657 1 GET3 3 7
387 41858 2 SEND1 1 1
388 42074 2 GET1 3 7
389 42128 2 SEND1 1 1
390 42218 2 GET1 3 7
391 42219 1 SEND3 7 1
392 42319 1 GET1 4 6
393 42606 2 SEND1 1 1
394 42822 2 GET2 3 7
395 42827 1 SEND1 0 0
396 42871 2 SEND2 4 1
397 42881 1 GET1 3 7
398 43014 2 GET1 3 7
399 43015 1 SEND1 1 1
400 43121 1 GET1 3 7
401 43208 2 SEND1 2 0
402 43463 1 SEND1 2 0
403 43566 2 GET2 5 7
404 43598 1 GET3 3 7
405 43709 2 SEND2 4 1
406 43792 1 SEND3 7 1
407 43862 1 GET2 3 7
408 43936 2 GET1 3 7
409 43975 1 SEND2 3 0
410 44122 1 GET1 3 7
411 44228 1 SEND1 1 1
412 44308 2 SEND1 2 0
413 44414 2 GET1 3 7
414 44660 2 SEND1 0 0
415 44722 1 GET1 3 7
416 44966 2 GET1 4 6
417 45008 1 SEND1 1 1
418 45172 1 GET1 5 7
419 45252 2 SEND1 2 0
420 45650 1 SEND1 2 0
421 45706 2 GET1 3 7
422 45816 1 GET1 3 7
423 46144 2 SEND1 2 0
424 46400 1 SEND1 1 1
425 46769 1 GET2 3 7
426 46799 2 GET1 5 7
427 46812 1 SEND2 3 0
428 46915 1 GET1 3 7
429 46983 1 SEND1 1 1
430 47055 1 GET1 4 6
